SEZ2011,COMUNE,offerta_colonnine_500m_originale,distanza_colonnina_piu_vicina_m,gap_score_originale,gap_score_simulato,colonnine_necessarie_sotto_soglia,delta_gap
791100000002,San Mango d'Aquino,0.0,3273.668266619532,0.7183664399276205,0.32643207785124106,1,-0.39193436207637944
790920000002,Pentone,0.0,3808.78646980837,0.7181269065271408,0.3050501144277027,1,-0.41307679209943815
791600000033,Lamezia Terme,0.0,1601.5073809912035,0.713959602547712,0.44823048307826396,2,-0.265729119469448
791270000026,Sellia Marina,0.0,6744.320164588214,0.7121732028501588,0.2483499611840453,1,-0.46382324166611355
790230000077,Catanzaro,0.0,1301.7190348748863,0.7115527247645791,0.48627011864118186,2,-0.22528260612339723
790810000002,Montepaone,0.0,3107.208534747735,0.7101299540846217,0.3264205340729047,1,-0.38370942001171693
791170000001,Santa Caterina dello Ionio,0.0,7752.065387537683,0.7100520335808511,0.24034723685235793,1,-0.4697047967284932
790230000181,Catanzaro,0.0,1373.4199564530682,0.7100000865783376,0.4737682067028949,2,-0.2362318798754427
791600000020,Lamezia Terme,0.0,1726.2257158456905,0.707821198417348,0.4277489343649623,1,-0.2800722640523857
791170000006,Santa Caterina dello Ionio,0.0,3832.470012956309,0.7050997526745492,0.2912091242023971,1,-0.4138906284721521
790870000003,Nocera Terinese,0.0,4818.185186745086,0.7018270915161887,0.2619802774547123,1,-0.4398468140614764
790230000123,Catanzaro,0.0,1174.1859183266563,0.6981157667810463,0.49388901234318494,2,-0.2042267544378613
791270000019,Sellia Marina,0.0,5416.758019978389,0.6970364235065959,0.24722444279624944,1,-0.44981198071034645
791260000003,Sellia,0.0,6055.295075866615,0.6970306516174276,0.23924769196581885,1,-0.45778295965160876
790360000002,Cropani,0.0,4957.596959228035,0.6933193268822853,0.2509415394205601,1,-0.4423777874617252
791600000007,Lamezia Terme,0.0,2272.1686746038436,0.6917580308622914,0.3619580556814148,1,-0.32979997518087656
791600000024,Lamezia Terme,0.0,1811.5171078308924,0.6912501046154912,0.4023179906899428,1,-0.2889321139255484
790180000001,Cardinale,0.0,3320.7236325689905,0.6912068154467298,0.2971974592143881,1,-0.3940093562323417
791330000003,Simeri Crichi,0.0,5384.829456618333,0.6909355366558252,0.24155933357767667,1,-0.4493762030781485
790230000113,Catanzaro,0.0,1061.4998962881912,0.6899369998297293,0.5064717307298265,3,-0.1834652690999028
791600000155,Lamezia Terme,0.0,1304.6526482006268,0.6896080021471427,0.46386364489029075,2,-0.22574435725685194
790390000003,Curinga,0.0,5380.286711261857,0.684635519628752,0.2353430089435422,1,-0.4492925106852098
790170000001,Caraffa di Catanzaro,0.0,3823.7932827123445,0.682032397613901,0.2684563371014149,1,-0.4135760605124861
791390000004,Soveria Simeri,0.0,7542.869827648205,0.6819487052209623,0.21320204209438764,1,-0.46874666312657465
790230000096,Catanzaro,0.0,1076.387634195998,0.681247420687028,0.4948211724438467,2,-0.18642624824318133
790390000008,Curinga,0.0,4038.996720632356,0.6806038550447754,0.2599630021904319,1,-0.4206408528543435
791080000004,San Floro,0.0,3606.9378646155474,0.6793600129290318,0.27354425740316934,1,-0.40581575552586246
791380000005,Soveria Mannelli,0.0,3459.4089692855255,0.6771378355992808,0.27719786324662987,1,-0.3999399723526509
790230000092,Catanzaro,0.0,1049.7613050458945,0.6770570291509261,0.4959842081112358,2,-0.18107282103969036
791470000003,Tiriolo,0.0,2853.8693331284826,0.6757698978664212,0.3058524070220804,1,-0.3699174908443408
790690000011,Maida,0.0,5214.856518995768,0.6746934405365548,0.22788572813824826,1,-0.4468077123983065
