SEZ2011,COMUNE,gap_score,popolazione_eta_guida_stimata
151460001262,Milano,0.5155335967238757,204.0
151180000029,Legnano,0.5151209066483505,288.0
151420000022,Melzo,0.5150574158675005,480.0
151300000048,Magenta,0.5149708375299777,206.0
151300000011,Magenta,0.5148438559682778,141.0
151710000120,Peschiera Borromeo,0.5144513675048412,279.0
150500000014,Carpiano,0.5143676751119025,93.0
150860000027,Cormano,0.514035791484732,422.0
152060000027,Senago,0.5139174677567842,88.0
151660000044,Paderno Dugnano,0.5136202154646227,116.0
152060000011,Senago,0.5131483635251235,791.0
151460003283,Milano,0.5124889251876585,242.0
152110000007,Settimo Milanese,0.5123417420138698,369.0
150410000019,Busto Garolfo,0.5123330841801176,369.0
151840000030,Robecco sul Naviglio,0.5122234182859221,89.0
151080000023,Gorgonzola,0.511816500099565,378.0
151460004993,Milano,0.5111094436764625,344.0
151850000008,Rodano,0.5111036717872943,110.0
150550000005,Casarile,0.5105033953138032,175.0
150050000022,Albairate,0.5104947374800509,67.0
150770000236,Cinisello Balsamo,0.5102927213591644,133.0
150600000036,Cassina de' Pecchi,0.5092076061955458,336.0
150700000015,Cernusco sul Naviglio,0.5089666298227742,570.0
152110000011,Settimo Milanese,0.5085178654399478,128.0
150770000362,Cinisello Balsamo,0.5080445705281567,70.0
151300000289,Magenta,0.507992623525643,68.0
152040000030,Sedriano,0.5078454403518544,422.0
152110000037,Settimo Milanese,0.507678055565977,291.0
151890000094,Rozzano,0.5075222145584359,455.0
150140000012,Basiano,0.5071961028204337,232.0
152370000009,Vignate,0.506735794659271,539.0
151460003226,Milano,0.506113873601399,125.0
151660000021,Paderno Dugnano,0.5060013217626196,100.0
150850000055,Corbetta,0.5059753482613627,247.0
151570000125,Novate Milanese,0.5059320590926013,127.0
151950000118,San Giuliano Milanese,0.5056146051883512,173.0
151400000004,Melegnano,0.5054962814604034,268.0
151570000002,Novate Milanese,0.5047257342564508,323.0
151570000109,Novate Milanese,0.5044659992438825,316.0
151660000214,Paderno Dugnano,0.5041514312842164,90.0
151460003222,Milano,0.5041196858937915,193.0
151700000073,Pero,0.503666592594089,252.0
151460003285,Milano,0.5034039716369366,235.0
151660000027,Paderno Dugnano,0.5031586663472889,341.0
152110000134,Settimo Milanese,0.5030547723422615,91.0
150590000010,Cassano d'Adda,0.5025035569266999,155.0
150120000034,Bareggio,0.5022178484128748,212.0
150770000122,Cinisello Balsamo,0.5014761606547631,241.0
151460001267,Milano,0.5014761606547631,300.0
151720000009,Pessano con Bornago,0.5011615926950971,192.0
150770000316,Cinisello Balsamo,0.5011500489167607,130.0
151570000060,Novate Milanese,0.5011356191938403,278.0
150770000015,Cinisello Balsamo,0.5004603081611627,255.0
151570000108,Novate Milanese,0.49998124136020344,160.0
